bur:akzata,50:axala:axata:p:
bur:aGynA,120:aGnyA:t:
bur:aNkapAli,124:aNkapAlI:t:
bur:aNkI,125:an3ki:an3ki1:t:
bur:ajaganDA,182:ajaganda1:ajagandha1:p:
bur:ajajIvika,185:ajajivika:ajaj1ivika:t:
bur:ajantrI,206:ajAntrI:p:
bur:aYj,226:an5j:an5j:t:  Remove colon from IAST (put after %})
bur:atova,333:atIva:p: o/I
bur:aDaScara,403:{%adhaçcaora%} m. {%(cur)%}:{%adhaçcara%} m. {%(car)%}:t:
bur:aDikfta,417:adikr2ta:adhikr2ta:p: text missing 'accent' which indicates aspirated 'd'.
bur:aDIti,451:adhiti:adhi1ti:p:
bur:aDIye,453:adhiye:adhi1ye:t: poor print
bur:aDIra,454:adhira:adhi1ra:t: poor print
bur:aDyArUQa,472:adhya1rud2ha:adhya1ru1d2ha:p: u/u1. cf. mw, etc.
bur:anarDya,515:anarGya:t: Dy/Gy. peculiar ligature
bur:anarza,560:anArza:p: a/A. print poor. alph. order, other dictionaries
bur:anAhUta,569:ana1hu1la:ana1hu1ta:p: l/t
bur:anukrISa,599:anukroSa:t: I/o
bur:anutpAda,633:anulpa1da:anutpa1da:p: l/t
bur:anupAlayAmi,657:anupa1laya1mi1:anupa1laya1mi:t: I/i poor print
bur:atardaDAmi,770:antardaDAmi:p: at/ant
bur:antarBatrAmi,772:antarBavAmi:p:tr/B  print poor
bur:antaHkaraRa,788:antaskaran2a:antaskaran2a:n: BUR uses 's' for  visarga in IAST
bur:antaHpadam,789:antaspadam:antaspadam:n: BUR uses 's' for  visarga in IAST
bur:antaHpAta,790:antaspa1ta:antaspa1ta:n: BUR uses 's' for  visarga in IAST
bur:antaHpAdam,791:antaspa1dam:antaspa1dam:n: BUR uses 's' for  visarga in IAST
bur:antaHpura,792:antaspura:antaspura:n:BUR uses 's' for  visarga in IAST
bur:antaHsattvA,793:antassattwa1:antassattwa1:n:BUR uses 's' for  visarga in IAST
bur:antaHsuKa,794:antassukha:antassukha:n:BUR uses 's' for  visarga in IAST
bur:antaHsTA,795:antasstha1:antasstha1:n:BUR uses 's' for  visarga in IAST
bur:antaHsveda,796:antassweda:antassweda:n:BUR uses 's' for  visarga in IAST
bur:anta,798:anti:p:  a/i. Missing 'i' diacritic in Sanskrit. Must be 'i' by alph. order
bur:anvac,828:{%anwach, anwan5c, anu1c%}:{%anwac%} , {%anwan5c, anu1c%}:t: (a) ch/c and (b) alternate headwords
bur:apadiSAmi,874:apadiça1mi1:apadiça1mi:p: final i1/i
bur:apaDyAye,876:apadya1ye:apadhya1ye:p: d/dh
bur:apanayAma,878:apanayAmi:p: final a/i (print missing short i diacritic
bur:apamArjmi,884:apamarjmi:apama1rjmi:p:ma/ma1
bur:apratyAnnAye,1010:apratyAmnAye:t:
bur:aBinipIqayAmi,1092:abhinipid2aya1mi:abhinipi1d2aya1mi:t: pi/pi1. print poor
bur:aBIkzRa,1212:abhixn2a:abhi1xn2a:t: i/i1 poor print
bur:aBIzaNga,1218:abhis2an3ga:abhi1s2an3ga:t: i/i1 print poor
bur:ayAni,1350:{%aya1ni1, aya1ma, aya1va,%}:{%aya1ni%} , {%aya1ma, aya1va,:t: ni1/ni
bur:aradu,1372:arawu:t: d/w; by alph. order other dictionaries
bur:arDya,1417:arGya:t: D/G. By sense and alph. order, this is 'G'
bur:arTiya,1438:arTIya:t: rTi/rTI
bur:alipazWa,1510:alpizWa:t:
bur:avyaTiza,1753:avyatis2a:avyathis2a:p: t/th
bur:asiknI,1902:asikhni1:asikni1:p: kh/k
bur:ahaha,1972:{%ahaha!%}:{%ahaha%}!:t: markup change
bur:ahe,1977:{%ahe!%}:{%ahe%}!:t:markup change
bur:aho,1980:{%aho!%}:{%aho%}!:t:markup change
bur:ahovata,1982:{%ahovata!%}:{%ahovata%}!:t:markup change
bur:ahosvit,1983:{%ahoswit!%}:{%ahoswit%}!:t:markup change
bur:akIm,2019:AkIm:t:
bur:Akuta,2021:AkUta:t:
bur:AkrIqa,2030:akri1d2a:a1kri1d2a:p: ak/a1k
bur:AkzIva,2034:a1xiva:a1xi1va:p: i/i1
bur:AtyantikaM,2140:Atyantika:p: M/_ No virAma
bur:AnAyya,2220:a1na1ya:a1na1yya:t:
bur:ApIqayAmi,2256:a1pid2aya1mi:a1pi1d2aya1mi:p: pid2/pi1d2 , print poor
bur:AprapadIna,2269:a1prapadina:a1prapadi1na:t: i/i1
bur:ABIkzRa,2284:a1bhixn2a:a1bhi1xn2a:n: i/i1
bur:ABIla,2286:a1bhila:a1bhi1la:t: i/i1
bur:AByavakASika,2289:abhyavaka1çika:a1bhyavaka1çika:p: abh/a1bh. Alph. order
bur:Aye,2348:{%a1ye!%}:{%a1ye%}!:t: change markup
bur:AruRaDmi,2378:a1run2admi:a1run2adhmi:p: d/dh , from ruD
bur:ArDirzam,2399:ArDizam:t:
bur:AlI,2428:a1li:a1li1:p: i/i1. By alph. order
bur:AlIye,2430:a1liye:a1li1ye:p: i/i1
bur:aSaMsAmi,2490:ASaMsAmi:p: aS/AS. alph. order
bur:ASiraHpAdam,2499:a1çiraspa1dam:a1çiraspa1dam:n:BUR uses 's' for  visarga in IAST
bur:ASI,2502:a1çi:a1çi1:p: i/i1
bur:AsodAmi,2545:AsIdAmi:t:
bur:Aha,2568:{%a1ha!%}:{%a1ha%}!:t: change markup
bur:Ahnika,2585:a1knika:a1hnika:p:k/h
bur:i,2590:{%i. emi%}:{%i%}. {%emi%}:t: markup
bur:iNKa,2597:iNK:p: Devanagari missing virAma
bur:itya,2624:ilya:itya:p: l/y. Verb form
bur:iLaspati,2682:il2aspati:il2aspati:n:  False positive - IAST-SLP conversion problem
bur:iLaspada,2683:il2aspada:il2aspada:n: False positive - IAST-SLP conversion problem
bur:ilA,2684:it2a1:it2a1:n:False positive - IAST-SLP conversion problem
bur:iha,2705:ihi:p: ha/hi.  Devanagari missing i vowel mark
bur:I,2707:{%i1. emi%}:{%i1%}. {%emi%}:t: markup change
bur:IL,2736:i1l2.:i1l2.:n:False positive - IAST-SLP conversion problem
bur:u,2753:{%u. ave%}:{%u%}. {%ave%}:t: markup change
bur:uC,2781:ucC:t:
bur:ucCAdana,2782:ucchdana:uccha1dana:t:
bur:ucCUNKala,2787:ucCfNKala:t:
bur:ujjAsana,2797:u1jja1sana:ujja1sana:p: u1/u, by alph. order
bur:utkfzwaBUma,2837:utkr2s2tabhu1ma:utkr2s2t2abhu1ma:p:t/t2
bur:utpAlI,2876:utpa1li:utpa1li1:t:i/i1
bur:udAvahAmi,2942:udha1vaha1mi:uda1vaha1mi:p: udh/ud
bur:uditvA,2947:udhixe:uditwa1:t:
bur:udIkze,2948:udixe:udi1xe:p: i/i1
bur:udore,2950:udIre:t: o/I
bur:udgacCAni,2955:udgacCAmi:p: n/m
bur:udgAyAmi,2958:udgaya1mi:udga1ya1mi:p:ga/ga1
bur:uddya,2995:udDya:t:
bur:upakxpta,3080:upakl2ipta:upakl2ipta:n: False positive - IAST-SLP conversion problem
bur:uparizWa,3187:uparis2tha:uparis2t2ha:t:
bur:upAtizWAmi,3279:upa1lis2t2ha1mi:upa1tis2t2ha1mi:p: upa1li/upa1ti
bur:upAMSru,3308:upAMSu:t:
bur:upoQa,3317:upodha:upod2ha:t:
bur:uSI,3391:uçi:uçi1:p: i/i1
bur:uzora,3404:uzIra:t: o/I
bur:UrRu,3443:{%u1rn2u. u1rn2aomi, u1rn2omi%}:{%u1rn2u%}. {%u1rn2aomi, u1rn2omi%}:t: change markup
bur:Uz,3457:{%u1s2. u1s2a1mi%}:{%u1s2%}. {%u1s2a1mi%}:t: change markup
bur:UH,3462:u1s:u1s:n:BUR uses 's' for  visarga in IAST
bur:f,3467:{%r2. r2n2omi%}:{%r2%}. {%r2n2omi%}:t:change markup
bur:fcIza,3479:r2ci1sdha:r2ci1s2a:t:sdha/s2a
bur:F,3510:{%r21. r2n2a1mi%}:{%r21%}. {%r2n2a1mi%}:t: change markup
bur:lf,3511:x:t:
bur:lF,3512:X:t:
bur:ekAnaScaya,3534:ekaniScaya:p: kAna/kani
